4215,Căplani,46.38720,29.87140
4216,Cioburciu,46.60030,29.70830
4228,Popeasca,46.60250,29.53690
4214,Carahasani,46.46750,29.81220
4219,Ermoclia,46.58080,29.50970
4224,Hadjilari,46.52060,29.60140
4229,Purcari,46.53690,29.86030
4239,Tudora,46.43500,30.04250
4232,Semionovca,46.51670,29.51220
4233,Slobozia,46.50810,29.74030
4238,Talmaza,46.63583,29.66472
4227,Palanca,46.40860,30.09610
4213,Brezoaia,46.52080,29.45390
4201,Ştefa n-Vodă,46.51530,29.66310
4222,Lazo,46.48780,29.57640
4231,Răscăieţii Noi,46.53250,29.77330
4241,Volintiri,46.42670,29.60580
4217,Copceac,46.45028,29.52083
4236,Ştefăneşti,46.44580,29.68780
4212,Anton eşti,46.49610,29.84860
4218,Crocmaz,46.45190,29.98250
4224,Marianca de Jos,46.52060,29.60140
4225,Olăneşti,46.49556,29.91806
4220,Festei iţa,46.54440,29.56560
4215,Caplani,46.38720,29.87140
4237,Talmaza,46.63583,29.66472
4230,Răscăieţi,46.57440,29.77610
4240,Viişoara,46.54690,29.82560
4211,Al ava,46.50920,29.56780
4226,Olăneşti,46.49556,29.91806
