7113,Bîrnova,48.42390,27.52670
7119,Dîngeni,48.34810,27.48140
7121,Gîtbova,48.37750,27.62190
7106,Otaci,48.43000,27.79390
7118,C ore ştiuţi,48.35280,27.25780
7102,Ocniţa Gara,48.38528,27.43917
7102,Ocniţa,48.38528,27.43917
7101,Ocniţa,48.38528,27.43917
7114,Calaraşovca,48.41890,27.81560
7125,Lencăuţi,48.43530,27.65060
7108,Frunză,48.40750,27.59860
7112,Bîrlădeni,48.26440,27.41670
7128,Grinăuţi-Soleciul,48.39361,27.51250
7120,Paustova,48.35000,27.50000
7122,Grinăuţi,48.31310,27.46890
7136,Verejeni,48.44000,27.61690
7128,Lipnic,48.39361,27.51250
7133,Sauca,48.37750,27.72560
7130,Ocniţa,48.38528,27.43917
7118,Stălineşti,48.33860,27.26390
7132,Rujniţa,48.25640,27.43250
7124,Hădărăuţi,48.37170,27.33580
7127,Mereşeuca,48.43420,27.68420
7112,Paladea,48.24640,27.41830
7116,Clocuşna,48.43140,27.34170
7131,Rediul Mare,48.22860,27.51530
7129,Naslavcea,48.46720,27.58440
7128,Mihălăşeni,48.32580,27.42330
7134,Unguri,48.40110,27.86750
7130,Maiovca,48.37190,27.39360
7111,Berezovca,48.38140,27.77690
7135,Vălcineţ,48.44560,27.73390
7123,Grinăuţi-Moldova,48.28310,27.44890
7126,Lipnic,48.39360,27.51250
7117,Codreni,48.43330,27.71670
7123,Grinăuţi-Raia,48.28530,27.42390
